#Mean	233.588
#Median	207
#Mode	172
#STDev	106.430
#PercentOfPairs	100.000
#InsertSize	Count
37	1
46	2
50	1
52	1
57	1
59	2
62	1
64	1
65	3
67	3
70	7
71	6
72	5
73	9
74	7
75	3
76	1
77	5
78	7
79	9
80	14
81	17
82	11
83	12
84	14
85	9
86	12
87	13
88	22
89	12
90	23
91	36
92	21
93	29
94	27
95	44
96	28
97	40
98	43
99	41
100	57
101	51
102	46
103	50
104	64
105	78
106	63
107	68
108	72
109	75
110	66
111	77
112	85
113	86
114	87
115	83
116	87
117	89
118	99
119	80
120	89
121	85
122	94
123	99
124	103
125	103
126	82
127	93
128	107
129	99
130	104
131	108
132	97
133	123
134	122
135	99
136	111
137	112
138	108
139	120
140	118
141	122
142	135
143	112
144	100
145	119
146	118
147	132
148	140
149	130
150	141
151	139
152	132
153	138
154	137
155	145
156	136
157	139
158	134
159	122
160	114
161	132
162	121
163	124
164	114
165	136
166	130
167	121
168	136
169	134
170	133
171	110
172	146
173	114
174	143
175	121
176	136
177	109
178	138
179	109
180	145
181	110
182	133
183	114
184	121
185	115
186	128
187	136
188	130
189	108
190	134
191	140
192	132
193	125
194	121
195	117
196	112
197	114
198	106
199	120
200	126
201	105
202	117
203	114
204	104
205	116
206	108
207	136
208	119
209	102
210	112
211	111
212	95
213	110
214	111
215	97
216	98
217	95
218	99
219	89
220	113
221	104
222	104
223	92
224	101
225	81
226	91
227	102
228	100
229	70
230	83
231	92
232	87
233	91
234	82
235	103
236	78
237	98
238	83
239	85
240	85
241	89
242	81
243	81
244	69
245	78
246	74
247	72
248	78
249	86
250	77
251	82
252	72
253	69
254	64
255	71
256	67
257	65
258	75
259	81
260	72
261	71
262	84
263	76
264	73
265	70
266	60
267	73
268	61
269	70
270	62
271	51
272	60
273	50
274	65
275	66
276	57
277	77
278	62
279	47
280	67
281	58
282	59
283	62
284	51
285	57
286	57
287	51
288	57
289	52
290	57
291	52
292	48
293	51
294	51
295	47
296	54
297	49
298	63
299	54
300	39
301	35
302	41
303	41
304	32
305	38
306	44
307	52
308	44
309	48
310	43
311	54
312	42
313	48
314	49
315	44
316	53
317	44
318	44
319	50
320	33
321	43
322	48
323	29
324	61
325	47
326	36
327	35
328	33
329	42
330	22
331	37
332	38
333	35
334	30
335	39
336	42
337	40
338	42
339	45
340	44
341	45
342	26
343	34
344	49
345	33
346	33
347	37
348	36
349	37
350	28
351	29
352	32
353	34
354	34
355	36
356	30
357	38
358	28
359	33
360	29
361	34
362	25
363	27
364	16
365	26
366	23
367	25
368	33
369	30
370	24
371	17
372	20
373	25
374	24
375	28
376	25
377	25
378	20
379	25
380	21
381	22
382	30
383	26
384	28
385	24
386	19
387	18
388	24
389	21
390	25
391	19
392	21
393	21
394	24
395	21
396	27
397	32
398	18
399	26
400	32
401	30
402	22
403	20
404	19
405	23
406	16
407	23
408	13
409	22
410	28
411	18
412	20
413	22
414	20
415	16
416	23
417	10
418	15
419	15
420	20
421	20
422	17
423	17
424	15
425	16
426	17
427	24
428	18
429	14
430	18
431	17
432	22
433	15
434	17
435	14
436	13
437	16
438	17
439	16
440	20
441	15
442	16
443	14
444	19
445	11
446	15
447	15
448	14
449	22
450	16
451	19
452	15
453	12
454	19
455	18
456	10
457	18
458	15
459	14
460	12
461	15
462	14
463	7
464	12
465	10
466	9
467	21
468	14
469	15
470	14
471	8
472	10
473	7
474	14
475	8
476	8
477	13
478	12
479	10
480	8
481	12
482	13
483	9
484	11
485	8
486	10
487	10
488	8
489	6
490	5
491	6
492	7
493	10
494	11
495	9
496	9
497	9
498	12
499	12
500	14
501	10
502	5
503	8
504	3
505	10
506	10
507	9
508	12
509	4
510	10
511	6
512	9
513	9
514	4
515	7
516	9
517	4
518	6
519	9
520	5
521	11
522	5
523	9
524	10
525	10
526	9
527	11
528	6
529	7
530	13
531	8
532	5
533	6
534	6
535	10
536	7
537	7
538	4
539	8
540	7
541	11
542	6
543	4
544	5
545	5
546	5
547	3
548	11
549	3
550	7
551	7
552	7
553	3
554	7
555	8
556	9
557	3
558	7
559	4
560	6
561	5
562	3
563	3
564	3
565	1
566	4
567	2
568	6
569	1
570	3
571	4
572	3
573	3
574	4
576	5
577	1
578	5
579	3
580	3
581	4
582	4
583	1
584	1
585	2
586	6
587	3
588	2
589	7
590	3
592	3
593	1
595	3
596	1
597	4
598	1
599	6
600	1
603	4
604	1
606	2
607	1
608	3
609	1
610	1
611	1
612	2
613	1
621	1
628	2
630	1
634	1
643	1
645	2
650	1
656	1
661	1
683	1
687	1
688	1
689	1
698	1
705	1
709	2
715	1
716	1
721	1
722	1
770	1
776	1
786	1
787	1
793	1
798	1
800	1
801	1
806	1
812	1
815	1
817	1
819	1
820	1
833	1
843	1
845	1
850	1
857	1
871	1
888	1
889	1
891	1
894	2
897	1
903	1
904	1
910	1
915	1
918	1
925	1
930	1
935	1
936	1
941	1
943	1
948	1
959	1
969	1
975	1
979	1
982	1
984	1
990	1
998	1
1000	1
