#Mean	279.789
#Median	265
#Mode	231
#STDev	100.579
#PercentOfPairs	100.000
#InsertSize	Count
32	1
37	1
38	1
41	1
42	1
43	1
47	1
51	1
57	1
58	1
66	1
67	1
72	1
74	1
77	1
78	2
80	2
83	1
84	1
85	2
86	3
87	4
88	1
89	2
90	4
91	8
92	3
93	2
94	10
95	7
96	9
97	3
98	9
99	6
100	10
101	10
102	9
103	8
104	12
105	6
106	14
107	8
108	20
109	16
110	19
111	16
112	19
113	17
114	23
115	23
116	26
117	30
118	29
119	25
120	24
121	27
122	28
123	27
124	26
125	41
126	29
127	33
128	38
129	48
130	34
131	37
132	34
133	48
134	36
135	48
136	44
137	34
138	59
139	55
140	41
141	44
142	49
143	43
144	43
145	68
146	47
147	50
148	65
149	52
150	70
151	62
152	48
153	81
154	83
155	47
156	60
157	56
158	61
159	73
160	74
161	66
162	74
163	85
164	60
165	72
166	89
167	73
168	71
169	67
170	75
171	80
172	80
173	82
174	77
175	94
176	67
177	111
178	93
179	83
180	79
181	101
182	97
183	87
184	93
185	90
186	101
187	85
188	72
189	95
190	92
191	95
192	119
193	110
194	100
195	102
196	105
197	97
198	114
199	109
200	88
201	120
202	87
203	89
204	107
205	101
206	113
207	91
208	118
209	109
210	114
211	105
212	88
213	106
214	113
215	94
216	99
217	93
218	89
219	97
220	109
221	84
222	108
223	89
224	90
225	101
226	114
227	93
228	110
229	103
230	112
231	122
232	113
233	105
234	106
235	103
236	92
237	106
238	112
239	111
240	95
241	96
242	88
243	100
244	111
245	82
246	99
247	108
248	84
249	103
250	103
251	80
252	111
253	100
254	108
255	120
256	97
257	76
258	105
259	116
260	95
261	117
262	108
263	87
264	84
265	94
266	86
267	119
268	98
269	90
270	113
271	115
272	78
273	112
274	89
275	102
276	105
277	99
278	81
279	96
280	95
281	83
282	111
283	93
284	94
285	97
286	75
287	84
288	74
289	100
290	73
291	82
292	75
293	88
294	81
295	90
296	82
297	88
298	88
299	72
300	87
301	103
302	84
303	69
304	90
305	80
306	92
307	65
308	76
309	63
310	70
311	64
312	79
313	79
314	64
315	77
316	82
317	54
318	85
319	71
320	62
321	72
322	72
323	70
324	68
325	58
326	41
327	69
328	59
329	75
330	69
331	71
332	69
333	74
334	71
335	63
336	56
337	74
338	64
339	75
340	71
341	50
342	59
343	54
344	50
345	70
346	69
347	62
348	78
349	68
350	48
351	71
352	66
353	44
354	65
355	50
356	53
357	59
358	54
359	62
360	39
361	63
362	53
363	44
364	44
365	44
366	48
367	52
368	54
369	51
370	57
371	49
372	45
373	51
374	41
375	47
376	50
377	45
378	44
379	52
380	43
381	54
382	43
383	37
384	41
385	42
386	39
387	41
388	46
389	32
390	36
391	40
392	33
393	43
394	47
395	32
396	25
397	39
398	36
399	47
400	40
401	35
402	45
403	43
404	37
405	29
406	41
407	25
408	33
409	44
410	35
411	35
412	25
413	20
414	42
415	42
416	45
417	32
418	40
419	33
420	49
421	44
422	32
423	28
424	28
425	25
426	39
427	39
428	26
429	33
430	40
431	27
432	27
433	35
434	36
435	28
436	29
437	32
438	21
439	24
440	21
441	37
442	33
443	21
444	30
445	37
446	25
447	34
448	25
449	23
450	28
451	34
452	28
453	25
454	25
455	33
456	26
457	28
458	17
459	22
460	15
461	21
462	19
463	32
464	22
465	20
466	22
467	22
468	20
469	29
470	19
471	27
472	23
473	13
474	25
475	20
476	11
477	19
478	21
479	18
480	15
481	12
482	6
483	20
484	14
485	13
486	18
487	14
488	18
489	22
490	15
491	13
492	14
493	16
494	11
495	16
496	11
497	15
498	20
499	15
500	14
501	14
502	12
503	21
504	23
505	12
506	13
507	11
508	16
509	6
510	13
511	15
512	7
513	14
514	18
515	6
516	19
517	15
518	12
519	12
520	16
521	12
522	7
523	13
524	10
525	13
526	10
527	10
528	11
529	15
530	10
531	10
532	6
533	5
534	10
535	17
536	11
537	11
538	8
539	6
540	7
541	9
542	7
543	11
544	17
545	6
546	7
547	8
548	8
549	11
550	5
551	7
552	7
553	5
554	6
555	3
556	2
557	3
558	9
559	7
560	7
561	8
562	4
563	6
564	5
565	5
566	3
567	5
568	4
569	2
570	2
571	3
572	1
573	4
574	7
575	1
576	3
577	3
578	7
579	2
580	5
581	4
582	2
583	2
584	3
585	1
586	2
587	2
588	1
590	5
591	1
592	4
593	3
594	3
595	1
596	2
597	4
598	2
599	4
600	3
601	2
602	1
603	2
605	2
607	1
610	1
612	1
618	1
619	2
623	1
625	1
